Library_Imports,Data_Type,Preprocessing_Techniques,Model_Type,Optimizer,Loss_Function,Epochs,Batch_Size,Validation_Technique,Evaluation_Metrics,Code_ID
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,SGD,categorical_crossentropy,18,16,Cross-Validation,Accuracy,code_001.py
"tensorflow, scikit-learn",Tabular,Scaling,Random Forest,SGD,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_002.py
"pandas, scikit-learn",Tabular,Tokenization,Random Forest,Adam,categorical_crossentropy,20,16,Cross-Validation,Accuracy,code_003.py
"pandas, tensorflow, transformers",Text,Image Augmentation,CNN,RMSprop,categorical_crossentropy,10,32,Cross-Validation,"Precision, Recall",code_004.py
"tensorflow, scikit-learn",Image,Image Augmentation,Transformer,,,15,16,,Accuracy,code_005.py
"tensorflow, numpy",Tabular,Tokenization,RNN,Adam,categorical_crossentropy,10,64,Validation Split,"Accuracy, Recall",code_006.py
"tensorflow, scikit-learn",Tabular,Tokenization,RNN,SGD,categorical_crossentropy,15,64,Validation Split,"Accuracy, Recall",code_007.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,Adam,mean_squared_error,20,32,Validation Split,"Accuracy, Recall",code_008.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,RMSprop,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_009.py
"tensorflow, keras",Tabular,Scaling,Transformer,RMSprop,mean_squared_error,12,64,Cross-Validation,Accuracy,code_010.py
"pandas, tensorflow, transformers",Tabular,Scaling,RNN,,,18,32,,"Accuracy, Precision",code_011.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,18,16,Cross-Validation,"Precision, Recall",code_012.py
"pandas, tensorflow, transformers",Tabular,Scaling,RNN,SGD,mean_squared_error,20,16,Cross-Validation,"Precision, Recall",code_013.py
"tensorflow, scikit-learn",Image,Scaling,CNN,Adam,mean_squared_error,25,64,Cross-Validation,"Accuracy, Recall",code_014.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,SGD,mean_squared_error,25,32,Cross-Validation,"Precision, Recall",code_015.py
"tensorflow, keras",Image,Tokenization,CNN,,,25,32,,"Precision, Recall",code_016.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,Adam,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_017.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,,,20,32,,"Accuracy, Precision",code_018.py
"tensorflow, keras",Text,Image Augmentation,CNN,,,12,64,,"Accuracy, Recall",code_019.py
"tensorflow, numpy",Audio,Image Augmentation,Transformer,SGD,mean_squared_error,18,64,Validation Split,Accuracy,code_020.py
"tensorflow, keras, sklearn",Text,Tokenization,Transformer,,,12,32,,"Accuracy, Recall",code_021.py
"tensorflow, numpy",Image,Tokenization,CNN,SGD,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_022.py
"pandas, tensorflow, transformers",Audio,Scaling,Transformer,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_023.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,RNN,,,20,16,,"Precision, Recall",code_024.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Transformer,RMSprop,mean_squared_error,12,32,Cross-Validation,"Accuracy, Precision",code_025.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,RNN,,,12,16,,Accuracy,code_026.py
"tensorflow, keras",Image,Image Augmentation,RNN,Adam,categorical_crossentropy,10,32,Cross-Validation,Accuracy,code_027.py
"tensorflow, keras",Tabular,Scaling,Transformer,,,18,32,,"Precision, Recall",code_028.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,RMSprop,categorical_crossentropy,25,64,Validation Split,"Precision, Recall",code_029.py
"tensorflow, keras",Text,Tokenization,CNN,SGD,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_030.py
"tensorflow, keras, sklearn",Tabular,Tokenization,CNN,,,15,64,,"Accuracy, Recall",code_031.py
"tensorflow, scikit-learn",Image,Image Augmentation,RNN,RMSprop,categorical_crossentropy,15,16,Cross-Validation,Accuracy,code_032.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,RNN,Adam,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_033.py
"tensorflow, keras",Image,Scaling,Random Forest,RMSprop,categorical_crossentropy,20,64,Validation Split,"Accuracy, Recall",code_034.py
"pandas, tensorflow, transformers",Tabular,Scaling,Random Forest,RMSprop,mean_squared_error,25,64,Validation Split,"Accuracy, Recall",code_035.py
"tensorflow, scikit-learn",Text,Scaling,CNN,Adam,categorical_crossentropy,20,64,Cross-Validation,Accuracy,code_036.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,CNN,,,12,16,,"Precision, Recall",code_037.py
"pandas, scikit-learn",Audio,Image Augmentation,CNN,,,15,16,,"Accuracy, Recall",code_038.py
"tensorflow, numpy",Text,Image Augmentation,Transformer,RMSprop,mean_squared_error,8,32,Cross-Validation,Accuracy,code_039.py
"pandas, tensorflow, transformers",Text,Tokenization,RNN,RMSprop,mean_squared_error,10,32,Cross-Validation,"Precision, Recall",code_040.py
"pandas, tensorflow, transformers",Text,Scaling,Transformer,SGD,categorical_crossentropy,10,32,Validation Split,Accuracy,code_041.py
"tensorflow, numpy",Tabular,Image Augmentation,RNN,RMSprop,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_042.py
"pandas, scikit-learn",Text,Tokenization,RNN,SGD,categorical_crossentropy,25,32,Validation Split,"Accuracy, Recall",code_043.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,RMSprop,categorical_crossentropy,20,32,Validation Split,Accuracy,code_044.py
"tensorflow, scikit-learn",Tabular,Image Augmentation,Transformer,,,10,64,,"Accuracy, Recall",code_045.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,RMSprop,mean_squared_error,15,32,Cross-Validation,Accuracy,code_046.py
"pandas, tensorflow, transformers",Text,Scaling,RNN,SGD,categorical_crossentropy,8,32,Cross-Validation,"Accuracy, Recall",code_047.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Random Forest,RMSprop,categorical_crossentropy,15,64,Validation Split,Accuracy,code_048.py
"pandas, scikit-learn",Tabular,Scaling,Transformer,Adam,mean_squared_error,8,16,Cross-Validation,"Accuracy, Precision",code_049.py
"pandas, tensorflow, transformers",Text,Tokenization,CNN,SGD,mean_squared_error,8,64,Cross-Validation,"Accuracy, Precision",code_050.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,RMSprop,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_051.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,20,64,Cross-Validation,"Precision, Recall",code_052.py
"pandas, scikit-learn",Tabular,Scaling,RNN,Adam,mean_squared_error,15,32,Validation Split,Accuracy,code_053.py
"tensorflow, keras, sklearn",Text,Image Augmentation,Random Forest,,,18,16,,Accuracy,code_054.py
"tensorflow, scikit-learn",Text,Tokenization,Transformer,SGD,categorical_crossentropy,20,64,Cross-Validation,Accuracy,code_055.py
"tensorflow, numpy",Image,Scaling,Transformer,Adam,mean_squared_error,12,32,Validation Split,"Accuracy, Precision",code_056.py
"tensorflow, keras, sklearn",Image,Tokenization,Random Forest,RMSprop,mean_squared_error,20,16,Cross-Validation,Accuracy,code_057.py
